"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOC100652768",0.138142894208098,0.687895025682748,0.036,0.045,1
"CCNT2",0.138163449946305,0.169853772475311,0.527,0.567,1
"LOC389791",0.138268367297601,0.361620575329892,0.712,0.716,1
"C8orf40",0.138289384833534,0.259898008874057,0.313,0.303,1
"ZC3H8",0.138532742818799,0.814986437590915,0.253,0.247,1
"C6orf106",0.13854658581165,0.317825158107213,0.199,0.219,1
"HNRPLL",0.13865057966112,0.698004548347077,0.541,0.562,1
"SNORA62",0.138733594166387,0.483628848956797,0.025,0.032,1
"ARNTL2",0.13876656558055,0.307884291233271,0.636,0.703,1
"RNASEH2C",0.138797491192787,0.247451360928569,0.596,0.628,1
"ZCCHC16",0.138854930439281,1.00371958382089,0.052,0.062,1
"ZNF579",0.138864761734002,0.409531689115442,0.031,0.038,1
"FAM131B",0.138940482217196,0.319839396548156,0.393,0.385,1
"CLDN2",0.139105497738175,-0.858968808076323,0.012,0.017,1
"GCN1L1",0.139161250940445,0.193024875991071,0.659,0.644,1
